67114455;A;0
67197654;N;1000
67960282;O;1
68955161;A;0
69808090;M;0
70280798;N;1000
70384405;D;0
70538558;O;5000
71085057;N;1000
71507798;D;100
71558161;D;100000
71630744;P;1000
71654171;N;1
71736211;O;1
72116242;N;1
72140825;P;0
72274133;N;1
72719672;O;1
73677845;N;1000
74284860;N;1
74530665;N;1000
74670289;O;100
74822132;P;5000
74998886;S;100
75176872;N;1000
75345904;P;1000
76155441;N;1
76196562;N;1
76294412;D;1
76428348;D;50000
76972583;D;1
77453526;N;1000
81310999;N;1000
83178832;P;0
83239220;N;100
83242719;N;1000
83299934;N;1000
83566948;D;100
83594825;N;1000
83673087;N;1000
83690867;D;200000
83765981;N;1
83777558;O;1
83795107;D;1
83907966;N;500000
83932440;O;1
84196263;N;1000
84436742;N;1
84467259;N;1000
84496215;N;1
84816691;N;1000
84844040;N;1
84844346;N;1
85019394;N;1
85069596;N;1000
85203208;O;1000
85391043;N;1000
85551537;A;0
85615213;P;1000
85705077;N;1
85867571;D;1
85948696;N;1
85954242;O;1000
85958455;N;1000
86023991;D;100
86039330;N;1
86113379;N;1
86177518;N;1
86235314;O;1000
86270386;N;1
86315959;P;0
86319003;N;1000
86559831;N;1000
86622970;D;100
86824061;N;1000
86843882;O;1000
86994516;D;0
87280662;O;1
87763035;N;1
87887950;O;1000
87888471;N;1000
88065992;N;1
88827997;N;1000
88828072;N;1000
88873899;N;1000
88962631;N;1
88965436;D;100
89010457;D;100
89014138;N;1
89032918;N;1
89140718;D;100
89161817;D;1
89168045;N;1000
89187344;D;100
89250526;N;1000
89295767;O;1000
89301908;D;100
89354029;N;1000
89356807;S;12.46
89360443;D;500
89412387;P;0
89444531;D;100
89462596;N;1
89549708;O;1000
89611839;D;100
89621251;O;1000
89666235;O;1000
89672369;D;1
89673794;N;1
67324227;O;1
67496424;A;0
67505699;N;1
67532088;O;1
68050071;O;1
70305147;N;1
70319825;O;1
70339542;O;1000
70372001;N;1000
70408912;N;1
70604122;N;1
70725888;D;1
70763021;N;1000
70886089;N;1000
70949990;P;0
71209774;A;0
71327894;N;1
72117707;N;1000
72236246;D;1000000
72317532;N;1000
74522018;D;1
74617115;N;1
74787484;N;1000
74922324;O;1
75074082;N;1000
75081113;D;0
75158822;D;100000
75168413;N;1000
75217953;N;1000
75232588;N;1000
75337707;P;1000
76024397;N;1000
76085559;P;1000
76206560;N;1000
76215057;N;1000
76295965;N;1000
76302319;N;1
76305622;N;1
76510751;N;1
76786859;N;1000
78138705;O;1000
78209349;N;1000
78611939;N;1000
78963932;N;150000
79474918;N;1000
81331019;N;1
83302443;D;100000
83320129;O;1000
83329435;N;1000
83356344;N;1000
83387337;N;1000
83433681;O;1
83627826;N;1
83647359;I;0
83693247;D;1
83718213;N;1
83742130;D;100
83743161;O;1000
83772011;P;5000
83882228;N;1
83929194;S;100
83936034;D;1
84011279;O;1
84064939;N;1
84451271;P;5000
84470371;S;4.2061
84477476;N;1000
84983250;D;100
84983416;P;1000
85020744;D;100
85091201;N;1
85260318;D;1
85378532;N;1
85671988;O;1000
85678916;P;0
85718099;N;1000
85868556;D;1
85871943;O;1000
85910815;D;100
85941331;D;1
85970051;N;1000
86217590;N;1000
86294584;D;62.5
86346069;D;100
86402650;D;100
86422601;N;1000
86674161;N;1000
86831717;N;1000
87010827;O;1000
87095658;O;1000
87263963;O;278.5
